parcode,trial,rt,choice,item_left,item_right
201,1,2227,-1,5.022,2.976
201,2,1705,-1,4.896,3.885
201,3,1733,-1,4.77,1.776
201,4,1688,-1,5.52,1.456
201,5,1929,-1,9.9,0
201,6,2534,-1,3.267,3.213
201,7,1247,1,0,9.9
201,8,2258,-1,5.432,5.39
201,9,2446,1,1.368,4.418
201,10,2332,-1,2.89,1.972
201,11,1413,-1,5.002,5.989
201,12,1626,1,1.666,5.76
201,13,1687,-1,4.588,2.56
201,14,2377,-1,1.853,1.84
201,15,1402,-1,5.822,1.848
201,16,1254,1,1.26,5.313
201,17,1783,1,2.124,5.194
201,18,1238,1,1.47,5.46
201,19,1910,-1,4.8,3.772
201,20,1854,1,4.422,5.46
201,21,1713,-1,5.451,2.449
201,22,1123,1,1.824,5.874
201,23,1290,-1,9.9,0
201,24,3061,-1,3.886,1.848
201,25,1135,-1,4.544,3.535
201,26,2357,1,1.164,4.176
201,27,2705,-1,4.473,5.52
201,28,1656,-1,5.518,1.515
201,29,2344,-1,3.552,2.596
201,30,1571,-1,5.525,2.576
201,31,1562,1,1.768,3.724
201,32,1727,-1,5.22,1.243
201,33,2499,1,1.47,2.46
201,34,1129,-1,4.225,1.265
201,35,1206,1,1.215,5.183
201,36,2130,1,4.332,5.39
201,37,1470,1,2.1,5.135
201,38,1534,1,3.24,5.22
201,39,1268,1,2.05,4.096
201,40,3200,-1,2.623,2.613
201,41,2698,1,2.496,2.507
201,42,1569,-1,4.59,2.574
201,43,1674,1,3.276,5.251
201,44,1046,-1,1.554,1.548
201,45,1342,-1,5.9,3.842
201,46,1627,-1,4.002,2.028
201,47,1067,-1,5.865,4.879
201,48,1281,-1,5.22,2.128
201,49,1980,1,3.9,5.846
201,50,1135,-1,5.81,1.836
201,51,2323,1,2.016,2.088
201,52,2436,1,3.074,3.05
201,53,3370,-1,4.8,1.848
201,54,1902,-1,3.337,2.373
201,55,1220,-1,4.234,1.218
201,56,1152,1,1.808,5.814
201,57,1226,-1,5.25,1.2
201,58,1754,1,4.563,2.542
201,59,1274,1,1.863,4.898
201,60,1316,1,1.02,5.025
201,61,882,-1,4.136,2.109
201,62,1183,-1,3.84,1.819
201,63,973,1,2.89,5.92
201,64,2015,-1,3.8,4.84
201,65,1084,1,2.968,4.928
