parcode,trial,rt,choice,item_left,item_right
201,1,2227,-1,5.022,2.976
201,3,1733,-1,4.77,1.776
201,5,1929,-1,9.9,0
201,7,1247,1,0,9.9
201,9,2446,1,1.368,4.418
201,11,1413,-1,5.002,5.989
201,13,1687,-1,4.588,2.56
201,15,1402,-1,5.822,1.848
201,17,1783,1,2.124,5.194
201,19,1910,-1,4.8,3.772
201,21,1713,-1,5.451,2.449
201,23,1290,-1,9.9,0
201,25,1135,-1,4.544,3.535
201,27,2705,-1,4.473,5.52
201,29,2344,-1,3.552,2.596
201,31,1562,1,1.768,3.724
201,33,2499,1,1.47,2.46
201,35,1206,1,1.215,5.183
201,37,1470,1,2.1,5.135
201,39,1268,1,2.05,4.096
201,41,2698,1,2.496,2.507
201,43,1674,1,3.276,5.251
201,45,1342,-1,5.9,3.842
201,47,1067,-1,5.865,4.879
201,49,1980,1,3.9,5.846
201,51,2323,1,2.016,2.088
201,53,3370,-1,4.8,1.848
201,55,1220,-1,4.234,1.218
201,57,1226,-1,5.25,1.2
201,59,1274,1,1.863,4.898
201,61,882,-1,4.136,2.109
201,63,973,1,2.89,5.92
201,65,1084,1,2.968,4.928
201,67,1137,1,2.997,4.964
201,69,1783,1,2.04,4.98
201,71,1280,1,2.242,5.175
201,73,1014,1,3.689,5.698
201,75,1246,-1,5.22,2.24
201,77,1280,1,1.19,5.232
201,79,1895,-1,1.116,2.079
201,81,2228,-1,2.088,3.116
201,83,960,-1,5.325,1.335
201,85,1793,1,3.552,4.543
201,87,1349,1,3.248,3.276
201,89,875,1,1.199,5.27
201,91,947,1,2.744,5.795
201,93,2117,-1,5.251,3.24
201,95,1987,1,2.352,3.28
201,97,1073,1,2.006,5.025
201,99,1990,1,1.767,1.794
201,101,1277,1,0,9.9
201,103,1262,1,2.444,4.453
201,105,2658,-1,2.457,3.399
201,107,1941,-1,3.09,0.999
201,109,3417,-1,3.534,2.52
201,111,1342,-1,4.662,2.688
201,113,1209,-1,9.9,0
201,115,1703,-1,4.42,2.375
201,117,4790,-1,3.591,2.553
201,119,1125,1,4.536,4.524
201,121,2487,1,5.238,4.209
201,123,1331,-1,5.328,1.335
201,125,2283,-1,5.39,1.36
201,127,3310,-1,3,2.071
201,129,2244,-1,5.671,1.76
201,131,1263,-1,3.168,1.152
201,133,2257,1,4.485,5.472
201,135,2122,1,2.808,5.785
201,137,1974,1,1.776,2.828
201,139,1499,1,1.8,5.822
201,141,1442,-1,5.1,1.144
201,143,1259,-1,4.416,4.332
201,145,1574,1,3.528,5.55
201,147,1190,1,2.61,5.544
201,149,1265,1,2.625,5.6
201,151,2184,-1,5.353,4.36
201,153,1400,-1,5.7,2.668
201,155,1321,-1,4.864,5.83
201,157,1496,-1,5.025,2.079
201,159,2021,1,5.244,5.217
201,161,964,1,1.2,5.184
201,163,1183,-1,5.04,4.074
201,165,1261,1,1.794,4.74
201,167,2364,-1,5.814,1.856
201,169,1708,-1,5.18,1.188
202,1,3431,-1,5.451,2.449
202,3,4919,1,2.016,2.088
202,5,2535,1,3.8,4.84
202,7,1428,1,1.06,5.046
202,9,5539,1,2.496,2.507
202,11,1222,-1,9.9,0
202,13,1443,1,3.9,5.846
202,15,2045,1,2.242,5.175
202,17,3431,-1,5.865,4.879
202,19,2473,1,1.19,5.232
202,21,1540,1,1.548,4.575
202,23,4065,-1,4.8,3.772
202,25,1591,1,1.215,5.183
202,27,2740,1,3.24,5.22
202,29,2393,-1,5.022,2.976
202,31,1937,-1,5.332,1.386
202,33,1134,-1,3.552,2.596
202,35,1764,-1,4.896,3.885
202,37,1434,-1,5.22,2.128
202,39,1293,-1,4.473,5.52
202,41,1714,-1,4.588,2.56
202,43,1272,-1,5.22,2.24
202,45,1288,-1,5.9,3.842
202,47,1305,-1,3.886,1.848
202,49,3050,1,4.422,5.46
202,51,1551,-1,4.8,1.848
202,53,3549,1,1.02,5.025
202,55,1504,1,1.47,5.46
202,57,1232,-1,5.518,1.515
202,59,2936,1,1.853,1.84
202,61,1103,1,1.47,2.46
202,63,1305,-1,5.52,1.456
202,65,1131,-1,2.275,1.32
202,67,1162,1,1.824,5.874
202,69,4112,1,3.552,4.543
202,71,1746,-1,3.337,2.373
202,73,2311,-1,5.002,5.989
202,75,3363,1,3.267,3.213
202,77,1489,1,2.968,4.928
202,79,5881,1,1.768,3.724
202,81,1439,1,2.997,4.964
202,83,1087,-1,9.9,0
202,85,1756,-1,5.551,1.515
202,87,2162,-1,4.272,1.288
202,89,1475,-1,3.168,1.152
202,91,1353,-1,4.148,2.133
202,93,1728,-1,5.814,1.856
202,95,1336,-1,4.42,2.375
202,97,3694,-1,4.662,2.688
202,99,1672,1,2.76,4.814
202,101,1425,1,2.87,4.864
202,103,1930,-1,5.28,1.312
202,105,1192,-1,5.1,1.144
202,107,1336,-1,5.995,1.989
202,109,1394,1,2.38,4.422
202,111,1640,1,1.199,5.27
202,113,2176,1,4.485,5.472
202,115,1237,-1,5.46,2.508
202,117,2025,-1,3.534,2.52
202,119,2610,1,4.864,5.83
202,121,2917,-1,4.416,4.332
202,123,4497,1,3.248,3.276
202,125,2558,-1,5.251,3.24
202,127,1185,-1,9.9,0
202,129,2198,-1,5.7,2.668
202,131,2767,-1,5.7,3.663
202,133,1845,-1,3,2.071
202,135,1569,-1,5.39,1.36
202,137,1501,-1,2.075,1.116
202,139,1311,1,1.8,5.822
202,141,3411,1,1.728,2.759
202,143,1651,-1,5.084,2.1
202,145,2839,1,2.436,5.451
202,147,1205,1,1.218,5.226
202,149,2768,-1,3.24,3.3
202,151,1985,1,5.244,5.217
202,153,2295,-1,5.58,2.574
202,155,1080,-1,3.09,0.999
202,157,3098,1,1.824,3.807
202,159,3303,1,2.444,4.453
202,161,6787,-1,5.238,4.209
202,163,2744,-1,4.36,4.3
202,165,2392,-1,3.588,1.558
202,167,1654,-1,5.328,1.335
202,169,2347,1,1.767,1.794
204,1,1625,-1,4.234,1.218
204,3,1638,1,3.9,5.846
204,5,2427,1,2.088,3.116
204,7,1554,-1,4.8,3.772
204,9,2307,1,2.968,4.928
204,11,2295,-1,3.84,1.819
204,13,1597,1,1.548,4.575
204,15,1632,1,2.05,4.096
204,17,2579,-1,5.865,4.879
