parcode,trial,rt,choice,item_left,item_right
201,171,7038,-1,-5.06,-4.092
201,173,1824,1,-5.103,-2.14
201,175,933,1,-5.04,-1.05
201,177,1614,-1,-1.417,-3.366
201,179,4400,-1,0,-9.9
201,181,1649,1,-3.045,-2.046
201,183,6104,-1,-1.9,-1.938
201,185,1181,1,-5.394,-1.344
201,187,1633,1,-3.675,-1.638
201,189,2595,-1,-1.5,-5.487
201,191,3231,-1,-4.446,-4.418
201,193,3765,-1,-1.92,-2.928
201,195,1747,1,-5.307,-1.287
201,197,1144,1,-5.328,-2.34
201,199,2378,1,-9.9,0
201,201,1207,-1,-2.26,-4.326
201,203,1373,1,-5.751,-1.76
201,205,4276,-1,-3.969,-4.988
201,207,2034,-1,-1.128,-4.104
201,209,2502,-1,0,-9.9
201,211,2819,-1,-1.729,-3.723
201,213,3032,-1,-5.984,-3.016
201,215,1741,1,-4.556,-2.553
201,217,2479,-1,-2.688,-4.62
201,219,4967,-1,-2.508,-3.528
201,221,1684,-1,-1.32,-4.35
201,223,1499,1,-5.307,-3.296
201,225,3245,-1,-3.408,-3.42
201,227,4916,-1,-3.06,-3.99
201,229,2182,1,-3.456,-3.51
201,231,1782,1,-5.406,-3.39
201,233,5004,1,-4.977,-4.026
201,235,1152,1,-5.005,-4.004
201,237,2043,1,-4.96,-2.916
201,239,2758,-1,-4.158,-5.185
201,241,3110,-1,-1.9,-5.84
201,243,2325,1,-4.785,-3.784
201,245,1050,1,-5.95,-1.98
201,247,934,-1,-1.01,-5.016
201,249,4132,-1,-4.355,-3.312
201,251,1940,1,-3.944,-4.895
201,253,1098,-1,-1.944,-3.96
201,255,877,-1,-1.455,-5.46
201,257,966,1,-5.356,-1.368
201,259,1025,-1,-1.32,-4.326
201,261,766,1,-5.632,-1.674
201,263,2006,-1,-3.564,-4.55
201,265,1466,1,-4.818,-2.844
201,267,691,1,-5.04,-1.068
201,269,1425,-1,-1.624,-4.65
201,271,1195,-1,-1.84,-5.832
201,273,1069,1,-5.67,-1.65
201,275,2438,1,-3.3,-3.255
201,277,2455,-1,0,-9.9
201,279,1679,1,-5.53,-1.539
