parcode,trial,fix_item,fix_time
201,1,1,721
201,1,0,65
201,1,2,901
201,1,0,47
201,1,1,299
201,3,0,270
201,3,1,600
201,3,0,48
201,3,2,733
201,5,0,539
201,5,1,399
201,5,0,365
201,5,2,622
201,7,0,239
201,7,1,533
201,7,0,32
201,7,2,440
201,9,2,356
201,9,0,47
201,9,1,1284
201,9,0,215
201,9,2,538
201,11,1,740
201,11,0,215
201,11,2,456
201,13,0,289
201,13,1,484
201,13,0,164
201,13,2,350
201,13,0,31
201,13,1,364
201,15,1,206
201,15,0,48
201,15,2,483
201,15,0,32
201,15,1,317
201,15,0,282
201,15,2,28
201,17,0,288
201,17,1,666
201,17,0,48
201,17,2,776
201,19,2,288
201,19,0,48
201,19,1,383
201,19,0,348
201,19,2,750
201,19,0,48
201,19,1,17
201,21,2,206
201,21,0,181
201,21,1,16
201,21,0,299
201,21,2,467
201,21,0,48
201,21,1,16
201,21,0,315
201,21,2,156
201,23,0,271
201,23,1,250
201,23,0,49
201,23,2,467
201,25,1,238
201,25,0,498
201,25,2,183
201,27,2,204
201,27,0,182
201,27,1,200
201,27,0,32
201,27,2,550
201,27,0,115
201,27,1,416
201,27,0,315
201,27,2,683
201,29,2,487
201,29,0,48
201,29,1,851
201,29,0,32
201,29,2,650
201,31,0,290
201,31,1,282
201,31,0,48
201,31,2,939
201,33,1,1274
201,33,0,265
201,33,2,959
201,35,2,488
201,35,0,48
201,35,1,367
201,35,0,31
201,35,2,266
201,37,0,289
201,37,1,266
201,37,0,48
201,37,2,834
201,39,1,239
201,39,0,165
201,39,2,861
201,41,2,455
201,41,0,48
201,41,1,500
201,41,0,298
201,41,2,784
201,41,0,48
201,41,1,500
201,41,0,32
201,41,2,24
201,43,0,238
201,43,2,267
201,43,0,48
201,43,1,250
201,43,0,48
201,43,2,650
201,43,0,48
201,43,1,119
201,45,2,719
201,45,0,48
201,45,1,572
201,47,0,287
201,47,1,779
201,49,2,337
201,49,0,182
