parcode,trial,fix_item,fix_time
201,171,1,823
201,171,0,215
201,171,2,367
201,171,0,264
201,171,1,200
201,171,0,31
201,171,2,2917
201,171,0,465
201,171,1,316
201,171,0,65
201,171,2,1100
201,171,0,48
201,171,1,214
201,173,1,481
201,173,0,65
201,173,2,800
201,175,1,403
201,175,0,49
201,175,2,478
201,177,0,253
201,177,1,501
201,177,0,48
201,177,2,383
201,177,0,65
201,177,1,33
201,179,0,254
201,179,1,350
201,179,0,132
201,179,2,533
201,179,0,48
201,179,1,1017
201,179,0,264
201,179,2,700
201,179,0,148
201,179,1,945
201,181,0,238
201,181,1,283
201,181,0,66
201,181,2,350
201,181,0,65
201,181,1,283
201,181,0,48
201,181,2,310
201,183,0,254
201,183,1,250
201,183,0,48
201,183,2,2184
201,183,0,64
201,183,1,650
201,183,0,49
201,183,2,200
201,183,0,281
201,183,1,1417
201,183,0,49
201,183,2,633
201,185,2,389
201,185,0,47
201,185,1,483
201,185,0,48
201,185,2,208
201,187,0,271
201,187,1,167
201,187,0,48
201,187,2,933
201,189,1,1005
201,189,0,48
201,189,2,400
201,189,0,48
201,189,1,217
201,189,0,65
201,189,2,399
201,189,0,181
201,189,1,223
201,191,1,421
201,191,0,48
201,191,2,533
201,191,0,481
201,191,1,150
201,191,0,48
201,191,2,700
201,191,0,231
201,191,1,500
201,193,2,459
201,193,0,31
201,193,1,2300
201,193,0,65
201,193,2,616
201,193,0,198
201,193,1,89
201,195,0,220
201,195,1,317
201,195,0,30
201,195,2,984
201,197,2,455
201,197,0,31
201,197,1,183
201,197,0,48
201,197,2,334
201,197,0,30
201,197,1,55
201,199,0,255
201,199,1,1250
201,199,0,98
201,199,2,773
201,201,1,405
201,201,0,48
201,201,2,350
201,203,0,238
201,203,1,350
201,203,0,48
201,203,2,566
201,205,1,554
201,205,0,116
201,205,2,532
201,205,0,198
201,205,1,417
201,205,0,448
201,205,2,667
201,205,0,47
201,205,1,900
201,205,0,49
201,205,2,337
201,207,1,205
201,207,0,298
201,207,2,84
201,207,0,47
201,207,1,1217
201,209,0,271
201,209,1,400
201,209,0,47
201,209,2,900
201,209,0,48
201,209,1,829
201,211,2,471
201,211,0,48
201,211,1,1217
201,211,0,165
201,211,2,866
201,213,2,922
201,213,0,48
201,213,1,916
201,213,0,49
201,213,2,650
201,213,0,48
201,213,1,393
201,215,2,1204
201,215,0,64
201,215,1,470
201,217,1,774
201,217,0,82
201,217,2,816
201,217,0,31
201,217,1,771
201,219,2,470
201,219,0,30
201,219,1,333
201,219,0,282
201,219,2,600
201,219,0,31
201,219,1,483
201,219,0,49
201,219,2,783
201,219,0,47
201,219,1,17
201,219,0,198
201,219,2,383
201,219,0,281
201,219,1,962
201,221,1,471
201,221,0,49
201,221,2,1162
201,223,0,272
201,223,1,284
201,223,0,65
201,223,2,876
201,225,0,238
201,225,2,367
201,225,0,31
201,225,1,316
201,225,0,282
201,225,2,933
201,225,0,232
201,225,1,839
201,227,0,388
201,227,2,133
201,227,0,48
201,227,1,383
201,227,0,365
201,227,2,1416
201,227,0,31
201,227,1,2145
201,229,2,455
201,229,0,31
201,229,1,551
201,229,0,48
201,229,2,1092
201,231,1,455
201,231,0,49
201,231,2,1275
201,233,0,290
201,233,2,250
201,233,0,47
201,233,1,733
201,233,0,49
201,233,2,584
201,233,0,47
201,233,1,433
201,233,0,49
201,233,2,767
201,233,0,48
201,233,1,1133
201,233,0,49
201,233,2,514
201,235,1,421
201,235,0,48
201,235,2,679
201,237,2,436
201,237,0,47
201,237,1,383
201,237,0,47
201,237,2,567
201,237,0,132
201,237,1,366
201,237,0,48
201,237,2,6
201,239,0,306
201,239,2,217
201,239,0,31
201,239,1,517
201,239,0,364
201,239,2,317
201,239,0,380
201,239,1,618
201,241,0,272
201,241,1,484
201,241,0,48
201,241,2,700
201,241,0,65
201,241,1,983
201,241,0,65
201,241,2,284
201,241,0,31
201,241,1,170
201,243,0,272
201,243,1,334
201,243,0,65
201,243,2,816
201,243,0,48
201,243,1,367
201,243,0,82
201,243,2,335
201,245,1,439
201,245,0,48
201,245,2,559
201,247,2,404
201,247,0,48
201,247,1,316
201,249,2,422
201,249,0,48
201,249,1,300
201,249,0,48
201,249,2,1217
201,249,0,81
201,249,1,266
201,249,0,282
201,249,2,84
201,249,0,31
201,249,1,384
201,249,0,48
201,249,2,850
201,251,0,272
201,251,1,217
201,251,0,48
201,251,2,1400
201,253,2,423
201,253,0,30
201,253,1,642
201,255,2,256
201,255,0,180
201,255,1,267
