subject,d,s,t,b
201,0.002,0.05,0.73,-0.04
202,0.003,0.04,0.54,0.05
204,0.002,0.05,0.94,-0.04
205,0.002,0.06,0.5,-0.04
206,0.004,0.06,0.8,-0.04
207,0.001,0.05,0.72,-0.01
208,0.005,0.07,0.84,-0.04
209,0.002,0.05,0.69,-0.04
211,0.003,0.04,0.67,-0.04
213,0.003,0.09,0.39,-0.04
214,0.002,0.05,0.58,0.05
215,0.002,0.05,0.85,-0.04
216,0.004,0.05,0.7,-0.14
217,0.001,0.05,0.89,-0.04
219,0.002,0.05,0.89,-0.04
220,0.003,0.05,0.75,-0.04
222,0.002,0.04,1.06,-0.04
223,0.002,0.05,0.95,-0.04
224,0.002,0.05,0.04,-0.04
225,0.004,0.06,0.88,-0.04
227,0.003,0.05,0.52,0.05
229,0.003,0.05,0.73,-0.04
230,0.002,0.05,0.63,-0.14
231,0.001,0.05,0.89,-0.04
232,0.003,0.06,0.59,-0.04
