subject,d,s,t,b
201,0.001,0.05,1.3,-0.04
202,0.002,0.04,1.43,-0.04
204,0.002,0.05,1.12,-0.04
205,-0.002,0.06,-0.23,-0.04
206,0.002,0.05,1.3,0.05
207,0.001,0.05,0.85,-0.04
208,0.002,0.07,2.13,-0.04
209,0.001,0.04,1.1,-0.04
211,0.002,0.04,1.17,-0.04
213,0.002,0.07,1.65,0.05
214,-0.001,0.05,-0.09,0.05
215,0.001,0.05,0.89,-0.14
216,0.003,0.06,1.15,-0.14
217,0.001,0.04,1.1,-0.04
219,0.002,0.05,1.62,-0.04
220,0.002,0.06,1.23,-0.01
222,0.001,0.05,0.89,-0.04
223,0.002,0.05,0.94,-0.04
224,0.002,0.06,1.27,-0.04
225,0.002,0.06,1.66,-0.04
227,0.002,0.04,0.86,-0.04
229,0.001,0.05,0.89,-0.04
230,0.0,0.06,-0.3,-0.04
231,0.001,0.04,0.3,-0.04
232,0.002,0.06,1.87,0.05
