subject,d,s,t,b
201,0.0024437499999999997,0.051250000000000004,0.65625,-0.046875
202,0.0029125,0.041874999999999996,0.53125,0.0625
204,0.0024437499999999997,0.045625,0.84375,-0.046875
205,0.0021312499999999995,0.0625,0.5,-0.046875
206,0.00385,0.060625,0.8125,-0.046875
207,0.00150625,0.045625,0.65625,-0.046875
208,0.004631250000000001,0.07375000000000001,0.875,-0.046875
209,0.0016624999999999997,0.0475,0.8125,-0.046875
211,0.00244375,0.041874999999999996,0.75,-0.046875
213,0.0030687500000000003,0.085,0.375,-0.046875
214,0.0022874999999999996,0.04375,0.625,0.0625
215,0.00244375,0.045625,0.8125,-0.046875
216,0.00431875,0.051250000000000004,0.6875,-0.140625
217,0.0015062499999999998,0.0475,0.78125,-0.046875
219,0.0018187499999999998,0.04937500000000001,0.9375,-0.046875
220,0.0030687500000000003,0.045625000000000006,0.78125,-0.046875
222,0.0019749999999999998,0.04375,0.90625,-0.046875
223,0.0026,0.04375,0.875,-0.046875
224,0.0021312499999999995,0.053125000000000006,0.09375,-0.046875
225,0.00431875,0.0625,0.84375,-0.046875
227,0.0030687500000000003,0.04750000000000001,0.53125,0.0625
229,0.0030687500000000003,0.04750000000000001,0.75,-0.046875
230,0.0016625,0.045625,0.78125,-0.046875
231,0.0015062499999999998,0.045625,0.84375,-0.046875
232,0.00338125,0.064375,0.5625,-0.046875
233,0.0033812499999999997,0.0475,0.65625,-0.046875
