subject,d,s,t,b
201,0.0019749999999999998,0.051250000000000004,1.46875,-0.046875
202,0.00213125,0.04375,2.09375,0.015625
204,0.0022874999999999996,0.045625,0.59375,-0.046875
205,0.0018187499999999996,0.060625,1.96875,-0.046875
206,0.0035375,0.060625,1.03125,-0.046875
207,0.0013499999999999999,0.045625,0.46875,-0.046875
208,0.00431875,0.07375000000000001,0.40625,-0.046875
209,0.00150625,0.0475,1.15625,-0.046875
211,0.00213125,0.041875,1.09375,-0.046875
213,0.0022875,0.085,2.46875,-0.046875
214,0.0019749999999999998,0.04375,1.21875,0.0625
215,0.0021312499999999995,0.045625,1.15625,0.0625
216,0.0035375,0.051250000000000004,1.53125,-0.140625
217,0.0013499999999999999,0.0475,0.96875,-0.046875
219,0.0018187499999999998,0.04937500000000001,0.15625,-0.046875
220,0.0026,0.045625,1.53125,-0.046875
222,0.0018187499999999998,0.04375,0.40625,-0.046875
223,0.0024437499999999997,0.04375,0.90625,0.0625
224,0.00150625,0.05500000000000001,2.46875,-0.046875
225,0.00385,0.0625,0.53125,-0.046875
227,0.0022875,0.04937500000000001,1.96875,0.0625
229,0.0026,0.04750000000000001,1.0625,-0.046875
230,0.00150625,0.045625,0.96875,-0.046875
231,0.0013499999999999999,0.045625,0.75,-0.046875
232,0.0026,0.064375,1.71875,-0.046875
233,0.0029124999999999997,0.045625000000000006,1.65625,-0.046875
