subject,d,s,t,b
201,0.0008031250000000001,0.052187500000000005,1.921875,-0.046875
202,0.002209375,0.0409375,1.234375,-0.046875
204,0.001896875,0.045625,1.203125,-0.046875
205,0.0001,0.07375000000000001,2.484375,-0.046875
206,0.002365625,0.04843750000000001,1.140625,0.0546875
207,0.0011156249999999996,0.0446875,0.734375,-0.046875
208,0.002053125,0.0728125,1.984375,-0.046875
209,0.0010374999999999998,0.042812499999999996,1.484375,-0.046875
211,0.0018187499999999998,0.0409375,1.203125,-0.046875
213,0.0022875,0.068125,1.484375,0.0546875
214,0.0001,0.05593750000000001,2.484375,-0.046875
215,0.00119375,0.04375,0.984375,-0.140625
216,0.00306875,0.06343750000000001,1.140625,-0.1171875
217,0.0012718749999999998,0.041874999999999996,0.953125,-0.140625
219,0.002209375,0.051250000000000004,1.484375,-0.046875
220,0.0016624999999999997,0.05500000000000001,1.359375,0.0078125
222,0.000646875,0.04656250000000001,2.015625,0.0390625
223,0.0015843749999999998,0.045625,1.078125,-0.046875
224,0.0024437499999999997,0.060625,1.109375,-0.046875
225,0.002678125,0.054062500000000006,1.328125,-0.046875
227,0.0017406249999999998,0.041875,0.890625,-0.046875
229,0.00119375,0.0446875,0.921875,-0.046875
230,0.00041250000000000005,0.054062500000000006,2.234375,-0.046875
231,0.00056875,0.0409375,2.046875,0.0078125
232,0.002521875,0.060625,1.53125,0.0546875
233,0.000803125,0.04468750000000001,1.890625,-0.046875
