subject,d,s,t,b
201,0.0011937500000000001,0.051250000000000004,2.46875,-0.046875
202,0.00244375,0.04,1.34375,-0.046875
204,0.0021312499999999995,0.045625,0.78125,0.015625
205,0.0001,0.07375000000000001,2.46875,-0.046875
206,0.0024437499999999997,0.04937500000000001,0.59375,0.0625
207,0.0010375,0.04375000000000001,-0.4375,-0.046875
208,0.0030687500000000003,0.07375000000000001,2.46875,-0.046875
209,0.0013499999999999999,0.041874999999999996,1.46875,-0.046875
211,0.0018187499999999998,0.041875,0.96875,-0.046875
213,0.0027562499999999996,0.068125,1.40625,0.0625
214,0.0001,0.05500000000000001,2.46875,-0.046875
215,0.00119375,0.04375000000000001,1.53125,-0.046875
216,0.0030687500000000003,0.064375,1.28125,-0.046875
217,0.00119375,0.041874999999999996,0.1875,-0.046875
219,0.00275625,0.051250000000000004,1.71875,-0.046875
220,0.0019749999999999998,0.05500000000000001,1.1875,0.0625
222,0.0010375,0.045625000000000006,1.53125,0.015625
223,0.0016625,0.045625,0.34375,-0.046875
224,0.0026,0.060625,0.25,-0.046875
225,0.00306875,0.053125000000000006,1.28125,-0.046875
227,0.0015062499999999998,0.041875,0.03125,-0.046875
229,0.0010375,0.04562500000000001,1.53125,-0.140625
230,0.0007250000000000001,0.053125000000000006,1.96875,-0.046875
231,0.00088125,0.04,1.96875,-0.046875
232,0.00306875,0.060625,2.0625,0.0625
233,0.0011937500000000001,0.04562500000000001,1.71875,-0.046875
