subject,d,s,t,b
201,0.00135,0.053125000000000006,1.0,-0.046875
202,0.0026,0.04,1.0,-0.046875
204,0.0021312499999999995,0.045625,1.0,0.015625
205,0.0001,0.07375000000000001,1.0,-0.046875
206,0.0026,0.04937500000000001,1.0,0.0625
207,0.0011937499999999997,0.04375,0.71875,-0.046875
208,0.0029125,0.07750000000000001,1.0,-0.046875
209,0.0013499999999999999,0.041874999999999996,1.0,-0.046875
211,0.0019749999999999998,0.041875,1.0,-0.046875
213,0.0030687500000000003,0.068125,1.0,0.0625
214,0.0001,0.05500000000000001,1.0,-0.046875
215,0.00119375,0.04375,0.96875,-0.140625
216,0.0033812499999999997,0.0625,1.0,-0.140625
217,0.0011937499999999997,0.041874999999999996,0.96875,-0.140625
219,0.0029124999999999997,0.053125000000000006,1.0,-0.046875
220,0.0019749999999999998,0.05500000000000001,1.0,0.0625
222,0.0010375,0.045625000000000006,0.96875,-0.046875
223,0.0016625,0.045625,1.0,-0.046875
224,0.0026,0.060625,1.0,-0.046875
225,0.003225,0.05500000000000001,1.0,-0.046875
227,0.0018187499999999998,0.041875,0.875,-0.046875
229,0.00119375,0.045625,0.90625,-0.046875
230,0.0007250000000000001,0.05500000000000001,0.96875,-0.046875
231,0.00088125,0.04,1.0,-0.046875
232,0.00338125,0.0625,1.0,0.0625
233,0.00119375,0.045625000000000006,1.0,-0.046875
